loan_id,sector,ead,default_date,recovery_rate
40766,Energy,33227414,1/10/2024,0.484299988
1106,Energy,33196510,1/05/2021,0.441100001
517,Financials,32963052,1/05/2018,0.589900017
2609,Energy,32644868,1/05/2020,0.466399997
2218,Utilities,32242158,1/11/2020,0.728699982
19579,Energy,31634482,1/04/2020,0.67869997
48066,Utilities,31555442,1/06/2020,0.49000001
1839,Financials,31489178,1/06/2019,0.438600004
27426,Telecom,31416788,1/06/2020,0.507600009
44883,Energy,31000820,1/03/2018,0.694000006
8419,Technology,30872372,1/06/2022,0.301200002
22071,Financials,30867260,1/06/2018,0.5079
11904,Real_Estate,30618294,1/04/2020,0.454699993
44770,Energy,30247570,1/05/2020,0.720099986
16910,Retail,30194796,1/03/2018,0.267699987
14224,Real_Estate,30151970,1/10/2023,0.537699997
30390,Telecom,30043754,1/05/2020,0.643999994
25210,Real_Estate,29980236,1/05/2020,0.495700002
38354,Financials,29764612,1/02/2023,0.622699976
49229,Financials,29491942,1/06/2020,0.542999983
20246,Energy,29472344,1/04/2021,0.288500011
25377,Technology,29129544,1/07/2019,0.225400001
20519,Financials,29127904,1/05/2020,0.551299989
12492,Industrials,28986272,1/09/2020,0.439900011
38258,Financials,28726338,1/04/2022,0.450500011
16924,Telecom,28565822,1/05/2020,0.412900001
32740,Technology,28451100,1/04/2023,0.289299995
4841,Energy,27804782,1/10/2024,0.57980001
4657,Energy,27513618,1/06/2020,0.598500013
19005,Financials,27463562,1/04/2020,0.658299983
24705,Real_Estate,27313118,1/07/2019,0.4199
31834,Financials,27187946,1/05/2020,0.773500025
46503,Utilities,27116698,1/04/2020,0.441799998
47666,Financials,26701000,1/06/2020,0.508400023
23250,Utilities,26258238,1/08/2026,0.354099989
23922,Real_Estate,25750908,1/06/2020,0.627900004
36767,Telecom,25672912,1/04/2019,0.354600012
2062,Financials,25644466,1/05/2020,0.545799971
25971,Energy,25614546,1/08/2022,0.449499995
14742,Telecom,25345956,1/08/2024,0.725399971
15403,Real_Estate,25313256,1/02/2016,0.574400008
11080,Consumer,24984128,1/05/2020,0.347000003
31680,Financials,24808986,1/02/2015,0.658100009
36987,Financials,24540252,1/08/2027,0.626699984
24721,Financials,24456314,1/06/2015,0.576600015
12212,Technology,24394998,1/06/2020,0.406599998
18296,Financials,24357348,1/08/2025,0.52579999
30811,Financials,24352232,1/04/2020,0.361000001
32800,Utilities,24063712,1/04/2020,0.558099985
35134,Telecom,24024764,1/04/2020,0.616400003
31858,Financials,23172712,1/05/2020,0.652499974
27725,Telecom,22830890,1/06/2020,0.4903
43043,Energy,22800388,1/08/2019,0.686800003
37423,Energy,22783642,1/04/2020,0.543600023
49586,Financials,22645780,1/12/2023,0.552699983
121,Financials,22301332,1/02/2019,0.4199
23449,Financials,22261592,1/11/2021,0.57950002
2919,Industrials,22259796,1/05/2023,0.611000001
48613,Financials,22251686,1/12/2017,0.49180001
5054,Utilities,22197028,1/06/2020,0.264400005
33165,Industrials,22146554,1/11/2017,0.448700011
30285,Industrials,22123256,1/08/2019,0.529799998
13948,Real_Estate,22092690,1/06/2019,0.743799984
15381,Utilities,22078648,1/04/2020,0.443500012
2966,Industrials,22032128,1/04/2020,0.666000009
19552,Utilities,21995730,1/06/2026,0.72420001
30131,Utilities,21966338,1/04/2024,0.515699983
18252,Financials,21936814,1/05/2020,0.3486
3693,Real_Estate,21854124,1/05/2020,0.523100019
33307,Energy,21854046,1/02/2018,0.640999973
40021,Financials,21738268,1/05/2020,0.362699986
24136,Technology,21660298,1/04/2021,0.595399976
41866,Energy,21625336,1/01/2023,0.660099983
16652,Real_Estate,21578966,1/09/2019,0.497599989
2556,Utilities,21446018,1/08/2017,0.414000005
27373,Financials,21341526,1/09/2019,0.493900001
39110,Real_Estate,21187998,1/06/2023,0.638400018
28738,Financials,21171882,1/02/2022,0.587800026
14073,Energy,21130032,1/04/2025,0.45449999
3239,Energy,21118730,1/05/2020,0.306100011
43355,Real_Estate,21061348,1/05/2020,0.436199993
29052,Energy,21027390,1/03/2021,0.368999988
4470,Financials,21003688,1/10/2023,0.650200009
40319,Financials,20953976,1/11/2021,0.39199999
46795,Financials,20896208,1/05/2020,0.609300017
38109,Financials,20791484,1/08/2022,0.72390002
25671,Financials,20773710,1/06/2024,0.516499996
40199,Energy,20757222,1/05/2020,0.343899995
4930,Real_Estate,20700608,1/04/2020,0.615400016
25566,Utilities,20375628,1/05/2020,0.569700003
18330,Energy,20280226,1/01/2024,0.378699988
43578,Industrials,20254418,1/06/2020,0.282299995
15997,Financials,20224516,1/06/2020,0.216900006
3203,Healthcare,20176964,1/04/2020,0.355599999
14572,Financials,20147986,1/05/2020,0.372900009
554,Financials,20132500,1/04/2020,0.352800012
35391,Financials,20097024,1/04/2020,0.543299973
39749,Technology,20091960,1/10/2030,0.293500006
37417,Telecom,20061432,1/11/2016,0.222200006
22024,Telecom,19911022,1/02/2019,0.486099988
48291,Financials,19854662,1/04/2020,0.433699995
34237,Financials,19805704,1/03/2018,0.409500003
17180,Industrials,19733202,1/04/2020,0.299699992
38376,Telecom,19715304,1/04/2022,0.300399989
2928,Financials,19682784,1/05/2020,0.568000019
28365,Telecom,19593032,1/09/2027,0.569700003
1563,Financials,19543682,1/11/2020,0.685100019
5330,Financials,19304628,1/12/2017,0.497099996
25542,Industrials,19228780,1/04/2020,0.532500029
25593,Financials,19221536,1/04/2025,0.468100011
30332,Telecom,19115268,1/11/2024,0.557600021
13570,Telecom,18890198,1/05/2020,0.537199974
26660,Technology,18808762,1/06/2020,0.264099985
23018,Telecom,18723952,1/09/2028,0.342999995
17277,Financials,18699840,1/11/2015,0.550100029
3270,Utilities,18675770,1/10/2018,0.362300009
42091,Financials,18658318,1/05/2020,0.495000005
3615,Energy,18614058,1/06/2020,0.671500027
49179,Real_Estate,18578956,1/11/2021,0.849900007
6657,Financials,18538254,1/05/2020,0.317999989
12115,Real_Estate,18448914,1/08/2024,0.5528
23975,Utilities,18359796,1/04/2020,0.310799986
6912,Utilities,18268332,1/01/2021,0.406699985
27094,Telecom,18245382,1/01/2022,0.246199995
3189,Industrials,18222390,1/05/2020,0.526600003
7254,Telecom,18192610,1/11/2025,0.496899992
26600,Financials,18159658,1/04/2020,0.672399998
14900,Energy,18107984,1/06/2020,0.531099975
47282,Real_Estate,18060644,1/01/2025,0.461299986
1963,Utilities,18044482,1/07/2017,0.700900018
11813,Energy,18042452,1/04/2020,0.234899998
41532,Real_Estate,18020686,1/01/2025,0.656400025
13486,Financials,18003256,1/05/2020,0.436399996
23636,Industrials,17993976,1/05/2017,0.611699998
35086,Financials,17910760,1/05/2020,0.533999979
29732,Financials,17817886,1/11/2018,0.740199983
35361,Telecom,17794892,1/05/2020,0.232500002
43405,Energy,17700920,1/04/2020,0.442999989
31820,Telecom,17689596,1/06/2020,0.292199999
29828,Telecom,17627598,1/05/2018,0.449499995
47579,Real_Estate,17617988,1/06/2020,0.450199991
15703,Financials,17596126,1/11/2019,0.615499973
16011,Industrials,17556614,1/06/2020,0.183599994
32195,Technology,17532444,1/04/2024,0.39230001
43968,Energy,17415612,1/03/2018,0.323900014
35137,Telecom,17377176,1/05/2020,0.542100012
30231,Real_Estate,17304004,1/06/2020,0.743600011
42649,Real_Estate,17291456,1/04/2020,0.46540001
4671,Industrials,17270578,1/04/2020,0.432999998
34329,Telecom,17256494,1/12/2023,0.307000011
45067,Industrials,17242324,1/05/2025,0.361099988
3432,Technology,17206286,1/04/2020,0.328299999
11107,Technology,17170258,1/07/2023,0.022
37807,Utilities,17142502,1/08/2024,0.686500013
27791,Financials,17135736,1/05/2020,0.437599987
23031,Real_Estate,17115976,1/09/2017,0.650600016
14723,Financials,17113644,1/04/2020,0.496300012
10350,Financials,17056270,1/07/2021,0.297800004
48407,Real_Estate,16994372,1/02/2022,0.556900024
42770,Energy,16939190,1/05/2020,0.591600001
33527,Real_Estate,16874978,1/05/2020,0.531700015
49867,Real_Estate,16821894,1/08/2020,0.350800008
15778,Energy,16739030,1/12/2027,0.371699989
47938,Financials,16665338,1/01/2024,0.361699998
3212,Energy,16593567,1/08/2017,0.557299972
23042,Real_Estate,16452762,1/06/2020,0.355800003
10380,Energy,16405020,1/11/2016,0.315699995
35670,Financials,16299152,1/05/2020,0.328599989
12407,Real_Estate,16200255,1/03/2024,0.578400016
16790,Telecom,16125770,1/06/2020,0.481000006
33904,Financials,16070096,1/05/2020,0.343199998
48526,Financials,16047400,1/05/2020,0.585799992
19052,Telecom,15967131,1/06/2023,0.602100015
6058,Healthcare,15914219,1/05/2020,0.583700001
37432,Real_Estate,15891286,1/01/2020,0.476099998
41548,Financials,15690083,1/04/2020,0.441700011
19866,Utilities,15652452,1/04/2020,0.240600005
47701,Real_Estate,15632871,1/10/2018,0.739400029
45538,Real_Estate,15580124,1/05/2020,0.652899981
41531,Real_Estate,15530976,1/04/2020,0.608200014
4023,Energy,15495416,1/05/2020,0.463800013
22407,Industrials,15481504,1/08/2024,0.238999993
27497,Energy,15471277,1/04/2020,0.535000026
672,Financials,15462686,1/04/2020,0.442499995
17334,Real_Estate,15410687,1/08/2017,0.627600014
7181,Energy,15400711,1/03/2025,0.422300011
29219,Utilities,15340506,1/05/2022,0.456900001
38364,Energy,15280292,1/07/2017,0.641499996
46103,Healthcare,15278335,1/10/2017,0.421999991
4012,Utilities,15249660,1/09/2023,0.601800025
15529,Utilities,15203768,1/05/2020,0.566399992
21776,Real_Estate,15190102,1/07/2024,0.726499975
30535,Real_Estate,15172522,1/01/2022,0.698300004
15418,Energy,15151056,1/02/2019,0.222100005
19605,Financials,15136508,1/06/2020,0.437599987
15570,Real_Estate,15128256,1/05/2020,0.422199994
17170,Financials,15028257,1/02/2018,0.353399992
709,Consumer,15011544,1/07/2027,0.317299992
11747,Industrials,14993893,1/03/2025,0.558899999
38231,Industrials,14991380,1/02/2019,0.375099987
47769,Telecom,14971547,1/06/2020,0.478199989
41263,Real_Estate,14966073,1/04/2020,0.792999983
34973,Energy,14931292,1/11/2018,0.382499993
26214,Utilities,14893812,1/04/2018,0.676199973
27634,Energy,14847740,1/05/2020,0.600099981
8410,Financials,14846937,1/04/2020,0.494300008
41557,Telecom,14827255,1/11/2019,0.365200013
4059,Telecom,14792356,1/04/2020,0.505100012
41851,Energy,14745775,1/12/2019,0.471300006
5266,Real_Estate,14658036,1/07/2029,0.731299996
25730,Real_Estate,14602153,1/04/2017,0.449600011
35941,Real_Estate,14592322,1/06/2020,0.643999994
26123,Utilities,14502146,1/04/2020,0.634500027
11258,Financials,14436518,1/09/2021,0.402200013
37084,Real_Estate,14433224,1/12/2018,0.489800006
4513,Real_Estate,14401829,1/10/2025,0.505800009
14026,Real_Estate,14396931,1/05/2020,0.492500007
32764,Utilities,14348396,1/05/2020,0.355800003
32658,Healthcare,14254750,1/06/2020,0.605099976
12267,Telecom,14242978,1/12/2017,0.466300011
47739,Telecom,14197941,1/10/2018,0.649200022
8424,Telecom,14187547,1/02/2022,0.433200002
13756,Financials,14182248,1/06/2020,0.666800022
44215,Utilities,14177906,1/03/2021,0.734799981
29891,Utilities,14146381,1/01/2020,0.376800001
30478,Financials,14138604,1/05/2020,0.632399976
6159,Healthcare,14136697,1/08/2016,0.455599993
4208,Real_Estate,14094623,1/04/2020,0.256999999
15669,Financials,14068325,1/01/2027,0.362800002
34509,Healthcare,14021090,1/04/2020,0.432399988
15533,Utilities,14020020,1/05/2020,0.698099971
37593,Energy,13984386,1/04/2020,0.532500029
29172,Real_Estate,13973947,1/03/2020,0.549199998
21274,Financials,13961013,1/04/2020,0.494899988
25232,Telecom,13946177,1/11/2018,0.5995
49042,Financials,13870953,1/09/2019,0.675199986
15827,Financials,13784066,1/04/2020,0.307099998
40269,Real_Estate,13774494,1/04/2020,0.765399992
38902,Energy,13753817,1/05/2020,0.600399971
4757,Financials,13672103,1/02/2021,0.709200025
1778,Industrials,13659179,1/04/2020,0.257400006
46422,Energy,13657041,1/03/2019,0.685100019
45287,Industrials,13652252,1/08/2024,0.60860002
38079,Real_Estate,13596186,1/07/2015,0.748300016
12357,Technology,13555477,1/09/2017,0.436800003
20509,Real_Estate,13550409,1/06/2020,0.489600003
48893,Real_Estate,13539794,1/11/2019,0.592999995
33077,Financials,13518179,1/06/2020,0.628700018
30643,Real_Estate,13509912,1/05/2024,0.301400006
4170,Technology,13507351,1/04/2020,0.233999997
9517,Real_Estate,13475053,1/06/2022,0.461100012
35069,Real_Estate,13470011,1/05/2020,0.555800021
14467,Industrials,13438957,1/04/2020,0.370000005
18609,Consumer,13415113,1/03/2019,0.569899976
2679,Real_Estate,13396979,1/06/2020,0.687099993
20700,Financials,13395158,1/04/2020,0.694400012
10949,Energy,13378298,1/04/2022,0.414499998
2452,Retail,13359342,1/01/2019,0.248400003
10975,Retail,13304064,1/12/2020,0.462700009
20353,Technology,13299581,1/07/2022,0.346700013
1379,Utilities,13297859,1/04/2020,0.643000007
39790,Energy,13282989,1/04/2020,0.813199997
27332,Energy,13231446,1/10/2020,0.685899973
603,Financials,13229187,1/12/2022,0.4727
34456,Energy,13219702,1/07/2021,0.622799993
14764,Real_Estate,13213693,1/07/2025,0.551999986
15743,Real_Estate,13204949,1/05/2020,0.565500021
25708,Telecom,13196974,1/04/2020,0.471399993
42903,Real_Estate,13172947,1/05/2020,0.678200006
18729,Financials,13144311,1/06/2020,0.4111
12496,Real_Estate,13076512,1/02/2018,0.651899993
1538,Financials,13052559,1/06/2027,0.463800013
41558,Real_Estate,13050707,1/09/2025,0.732800007
8533,Technology,12928522,1/06/2023,0.1963
28951,Healthcare,12897463,1/05/2019,0.4745
34379,Consumer,12891024,1/05/2020,0.524600029
19676,Financials,12882220,1/05/2020,0.173999995
31962,Utilities,12819560,1/05/2024,0.64380002
45185,Consumer,12802746,1/03/2020,0.223399997
1264,Financials,12788740,1/05/2020,0.642400026
18912,Technology,12743333,1/10/2020,0.417299986
8636,Technology,12728330,1/11/2017,0.277999997
8361,Real_Estate,12692150,1/03/2019,0.597000003
49725,Healthcare,12674109,1/08/2023,0.434899986
45631,Energy,12672173,1/05/2020,0.6074
19185,Industrials,12660432,1/12/2017,0.547900021
14769,Financials,12640521,1/03/2022,0.472799987
16169,Industrials,12589270,1/10/2023,0.281899989
39448,Industrials,12564931,1/04/2020,0.445899993
10393,Utilities,12453502,1/09/2015,0.628000021
33839,Real_Estate,12432130,1/05/2020,0.59009999
47229,Technology,12413887,1/04/2020,0.341500014
44010,Utilities,12405599,1/01/2021,0.603399992
14083,Telecom,12385847,1/07/2021,0.567300022
14002,Technology,12281216,1/08/2021,0.385899991
24952,Utilities,12243162,1/11/2020,0.306300014
20054,Energy,12226031,1/02/2024,0.240899995
8418,Industrials,12225728,1/11/2022,0.452199996
19245,Real_Estate,12222256,1/10/2017,0.370900005
36956,Utilities,12216946,1/07/2019,0.677399993
47082,Industrials,12207044,1/12/2020,0.444999993
4316,Real_Estate,12199589,1/02/2025,0.3037
48221,Real_Estate,12153369,1/06/2020,0.64200002
26061,Energy,12149283,1/06/2020,0.495900005
12290,Industrials,12122361,1/01/2021,0.484400004
42964,Financials,12096960,1/07/2023,0.685699999
6182,Utilities,12079665,1/12/2023,0.401899993
5461,Telecom,12055070,1/06/2020,0.533900023
2039,Energy,12017119,1/04/2020,0.423000008
735,Energy,12000746,1/04/2020,0.799499989
46615,Financials,11989409,1/04/2020,0.417199999
39492,Retail,11981409,1/05/2020,0.265199989
28016,Consumer,11973829,1/05/2019,0.532400012
34,Real_Estate,11968702,1/10/2021,0.585200012
25126,Industrials,11963370,1/04/2020,0.54519999
43158,Technology,11897666,1/10/2024,0.542800009
31417,Energy,11885923,1/04/2020,0.394499987
7999,Telecom,11854984,1/05/2020,0.360599995
20222,Real_Estate,11818361,1/04/2020,0.286799997
14865,Utilities,11797466,1/03/2022,0.665199995
1121,Real_Estate,11792096,1/06/2020,0.442200005
36122,Energy,11791684,1/08/2023,0.638899982
1761,Industrials,11788494,1/06/2020,0.225400001
22746,Financials,11784176,1/06/2020,0.309500009
33164,Real_Estate,11763626,1/10/2016,0.334899992
35786,Financials,11762680,1/05/2022,0.405800015
5588,Energy,11736198,1/07/2019,0.298900008
44811,Real_Estate,11701676,1/04/2022,0.529799998
23991,Healthcare,11698378,1/12/2019,0.535899997
32507,Technology,11649481,1/01/2023,0.367199987
18024,Real_Estate,11632566,1/05/2020,0.505200028
1163,Energy,11619198,1/05/2020,0.442099988
13617,Industrials,11611006,1/05/2019,0.395099998
1982,Real_Estate,11587213,1/04/2020,0.604600012
2734,Energy,11571529,1/03/2018,0.545700014
39907,Financials,11566669,1/05/2021,0.520500004
26508,Energy,11562804,1/06/2020,0.2465
9878,Energy,11551162,1/04/2020,0.359699994
22932,Technology,11542228,1/02/2022,0.266299993
38719,Financials,11536682,1/11/2020,0.278800011
25894,Financials,11502125,1/05/2020,0.32949999
8814,Telecom,11487230,1/05/2020,0.487300009
38543,Technology,11477109,1/02/2025,0.454699993
37068,Real_Estate,11469240,1/04/2020,0.719200015
4667,Financials,11416716,1/04/2021,0.40200001
12355,Real_Estate,11401204,1/05/2020,0.765600026
1786,Technology,11401128,1/03/2018,0.391000003
29789,Telecom,11364521,1/01/2024,0.555199981
10402,Financials,11358591,1/04/2020,0.562699974
6151,Utilities,11319933,1/02/2028,0.353300005
22601,Energy,11314180,1/06/2020,0.592400014
18023,Real_Estate,11312647,1/01/2028,0.60860002
26279,Consumer,11238443,1/09/2019,0.458200008
11566,Energy,11225189,1/06/2020,0.555199981
49581,Financials,11223984,1/10/2018,0.7227
33019,Industrials,11196637,1/05/2020,0.564100027
19204,Utilities,11192650,1/03/2016,0.363900006
39052,Energy,11185804,1/08/2020,0.531300008
27861,Industrials,11072398,1/05/2020,0.469099998
39868,Utilities,11004567,1/06/2020,0.38499999
28477,Telecom,10995307,1/09/2023,0.413599998
30552,Energy,10985569,1/04/2020,0.355100006
47371,Utilities,10980643,1/06/2020,0.416200012
46045,Technology,10977502,1/03/2023,0.368699998
8322,Energy,10977170,1/05/2020,0.409999996
45817,Healthcare,10976242,1/05/2020,0.413500011
307,Utilities,10942773,1/07/2016,0.751100004
17839,Utilities,10934171,1/04/2020,0.390399992
28470,Utilities,10913814,1/11/2022,0.43720001
607,Utilities,10880959,1/05/2020,0.601199985
45682,Financials,10879704,1/09/2019,0.415199995
44622,Energy,10876308,1/04/2020,0.196999997
32443,Industrials,10862915,1/06/2020,0.6153
29060,Industrials,10856228,1/04/2020,0.255899996
42403,Industrials,10840980,1/11/2025,0.272000015
43177,Financials,10838049,1/07/2021,0.591099977
38153,Healthcare,10816628,1/04/2020,0.459100008
10479,Energy,10807130,1/09/2023,0.565100014
15923,Industrials,10804186,1/04/2020,0.219899997
10660,Healthcare,10792499,1/05/2029,0.318300009
1987,Telecom,10768306,1/12/2019,0.248300001
25833,Real_Estate,10725262,1/02/2021,0.565599978
28939,Healthcare,10701693,1/06/2020,0.221000001
34201,Telecom,10700587,1/01/2025,0.593200028
6177,Real_Estate,10697795,1/10/2022,0.621100008
19910,Utilities,10691455,1/06/2019,0.519800007
16187,Energy,10619079,1/06/2020,0.295399994
22453,Telecom,10615205,1/04/2020,0.384299994
26186,Industrials,10584505,1/04/2020,0.343600005
39512,Financials,10576195,1/10/2016,0.609899998
21684,Telecom,10570485,1/02/2017,0.355300009
26037,Energy,10564671,1/01/2022,0.613600016
40624,Telecom,10479666,1/06/2020,0.389800012
22943,Energy,10441874,1/10/2019,0.487199992
46112,Financials,10438317,1/04/2021,0.5898
41571,Financials,10425152,1/04/2020,0.693400025
26077,Industrials,10410129,1/04/2020,0.424600005
36527,Energy,10409207,1/07/2024,0.536300004
49644,Telecom,10403714,1/04/2020,0.192100003
27322,Technology,10403037,1/03/2023,0.486900002
16683,Real_Estate,10399717,1/02/2029,0.490700006
30908,Industrials,10392687,1/09/2024,0.355100006
36383,Technology,10387255,1/07/2022,0.203500003
42469,Financials,10371387,1/06/2020,0.3741
44594,Real_Estate,10331141,1/06/2021,0.296400011
47713,Financials,10320116,1/03/2021,0.570800006
38509,Financials,10313952,1/02/2021,0.718200028
23295,Telecom,10304231,1/06/2020,0.435000002
32722,Energy,10292601,1/06/2020,0.685699999
33471,Financials,10289523,1/04/2020,0.623899996
21705,Real_Estate,10272316,1/06/2016,0.481400013
3515,Real_Estate,10263461,1/08/2020,0.596300006
17084,Telecom,10249245,1/05/2020,0.306800008
18655,Financials,10228351,1/03/2024,0.357499987
5030,Financials,10225975,1/04/2020,0.521399975
39983,Financials,10203953,1/10/2021,0.218999997
1169,Real_Estate,10192274,1/06/2020,0.555499971
11426,Technology,10192027,1/06/2020,0.253600001
2301,Real_Estate,10154058,1/11/2017,0.55250001
19775,Telecom,10129205,1/07/2019,0.3574
5959,Technology,10125796,1/05/2020,0.316399992
31914,Financials,10111079,1/06/2020,0.428900003
15699,Real_Estate,10105549,1/01/2017,0.649100006
4933,Technology,10103707,1/05/2020,0.275000006
32175,Financials,10065999,1/01/2021,0.506399989
26685,Real_Estate,10061723,1/03/2017,0.663399994
45057,Telecom,10017281,1/07/2023,0.439799994
9068,Telecom,10016611,1/04/2017,0.486799985
7463,Real_Estate,9987148,1/05/2022,0.696799994
25415,Financials,9983902,1/09/2020,0.549300015
25621,Telecom,9959395,1/06/2020,0.388399988
21965,Financials,9946684,1/02/2023,0.351999998
42431,Real_Estate,9927588,1/07/2025,0.657899976
20981,Utilities,9921283,1/09/2021,0.563600004
23712,Telecom,9917727,1/02/2021,0.451200008
29015,Technology,9909723,1/04/2020,0.222100005
15829,Energy,9905165,1/04/2017,0.7245
8037,Healthcare,9849866,1/06/2020,0.402799994
13936,Telecom,9847771,1/07/2021,0.308800012
37681,Telecom,9822976,1/06/2020,0.469799995
11397,Energy,9821568,1/04/2020,0.653900027
24352,Industrials,9772279,1/06/2019,0.435499996
47592,Real_Estate,9755925,1/04/2020,0.552999973
29082,Industrials,9740977,1/11/2015,0.36559999
38542,Energy,9720074,1/04/2020,0.711000025
42896,Industrials,9711768,1/04/2020,0.460000008
49501,Industrials,9711047,1/06/2020,0.556699991
467,Industrials,9706505,1/06/2020,0.372000009
34919,Real_Estate,9675535,1/09/2024,0.436399996
33161,Financials,9667356,1/06/2020,0.44749999
6300,Technology,9657327,1/04/2020,0.282700002
18335,Financials,9656336,1/04/2024,0.558700025
33363,Real_Estate,9628824,1/07/2018,0.677200019
35649,Energy,9604925,1/09/2025,0.737100005
11162,Financials,9580103,1/12/2018,0.666599989
46455,Financials,9576565,1/05/2020,0.41929999
1579,Real_Estate,9556976,1/06/2021,0.450100005
13583,Retail,9551984,1/06/2019,0.488299996
13640,Utilities,9550242,1/05/2020,0.36649999
16693,Real_Estate,9548685,1/05/2020,0.485300004
32813,Real_Estate,9548656,1/06/2020,0.5625
19352,Consumer,9528186,1/06/2026,0.277200013
30870,Real_Estate,9472052,1/05/2020,0.41960001
14014,Real_Estate,9469218,1/05/2020,0.415399998
21940,Financials,9464188,1/07/2020,0.362800002
27343,Utilities,9456302,1/10/2018,0.572799981
28211,Industrials,9447230,1/11/2022,0.533200026
17766,Telecom,9412332,1/06/2020,0.288399994
3862,Energy,9406280,1/05/2020,0.412299991
40416,Real_Estate,9390681,1/06/2020,0.585200012
9742,Real_Estate,9383652,1/06/2022,0.603699982
4629,Utilities,9383635,1/07/2024,0.737600029
31260,Industrials,9369157,1/03/2016,0.359600008
14107,Utilities,9363857,1/05/2027,0.740400016
4319,Telecom,9338460,1/04/2020,0.435499996
32339,Technology,9333574,1/01/2020,0.435099989
20121,Technology,9329438,1/06/2022,0.32249999
49084,Financials,9317140,1/04/2020,0.445800006
32417,Telecom,9313339,1/05/2020,0.389200002
41485,Industrials,9312407,1/12/2022,0.4639
7560,Telecom,9309346,1/03/2023,0.583500028
47585,Utilities,9273313,1/01/2025,0.543600023
31148,Real_Estate,9271516,1/04/2020,0.300399989
23080,Real_Estate,9236024,1/06/2020,0.757700026
33437,Technology,9218004,1/06/2017,0.245499998
8850,Healthcare,9161661,1/05/2023,0.675999999
25798,Real_Estate,9160375,1/09/2027,0.537899971
32617,Technology,9142901,1/05/2020,0.268700004
4982,Utilities,9133721,1/04/2019,0.275700003
19696,Real_Estate,9127142,1/01/2023,0.796800017
26555,Consumer,9122067,1/05/2020,0.595799983
38936,Utilities,9110247,1/02/2025,0.375
34340,Financials,9078840,1/06/2020,0.342999995
2284,Financials,9075407,1/05/2020,0.370400012
3151,Technology,9074704,1/12/2018,0.519200027
41249,Real_Estate,9073233,1/11/2031,0.65140003
28594,Financials,9065737,1/04/2020,0.333700001
8135,Industrials,9041842,1/06/2020,0.306800008
18202,Financials,9036691,1/05/2020,0.417299986
6551,Utilities,9004516,1/04/2020,0.469900012
26841,Telecom,8995671,1/05/2020,0.519900024
44403,Energy,8980583,1/12/2019,0.338
33506,Industrials,8976216,1/04/2020,0.394300014
24991,Financials,8975017,1/06/2020,0.393900007
20544,Financials,8966749,1/06/2020,0.564999998
9492,Technology,8930540,1/06/2020,0.353199989
23851,Utilities,8926115,1/04/2021,0.299299985
23227,Healthcare,8925257,1/06/2020,0.2403
24300,Technology,8917288,1/05/2020,0.495400012
19988,Financials,8911054,1/05/2020,0.605499983
10631,Technology,8892134,1/08/2018,0.343699992
28447,Industrials,8890696,1/02/2027,0.461400002
24155,Energy,8889553,1/06/2020,0.419999987
